,index,mean,SE,error,lower,upper,p_value,sig,experience
0,0.0,56.448,5.493,0.123,50.481,61.084,0.0,***,0.0
1,0.07537688442211055,56.63,5.455,0.122,50.785,61.309,0.0,***,0.07537688442211055
2,0.1507537688442211,56.812,5.418,0.121,50.923,61.381,0.0,***,0.1507537688442211
3,0.22613065326633164,56.994,5.381,0.12,51.117,61.498,0.0,***,0.22613065326633164
4,0.3015075376884422,57.175,5.345,0.12,51.396,61.706,0.0,***,0.3015075376884422
5,0.37688442211055273,57.356,5.309,0.119,51.885,62.078,0.0,***,0.37688442211055273
6,0.4522613065326633,57.537,5.273,0.118,52.124,62.223,0.0,***,0.4522613065326633
7,0.5276381909547738,57.718,5.238,0.117,52.29,62.307,0.0,***,0.5276381909547738
8,0.6030150753768844,57.899,5.203,0.116,52.465,62.434,0.0,***,0.6030150753768844
9,0.6783919597989949,58.08,5.169,0.116,52.922,62.776,0.0,***,0.6783919597989949
10,0.7537688442211055,58.26,5.135,0.115,53.246,63.021,0.0,***,0.7537688442211055
11,0.829145728643216,58.44,5.102,0.114,53.43,63.164,0.0,***,0.829145728643216
12,0.9045226130653266,58.62,5.069,0.113,53.552,63.242,0.0,***,0.9045226130653266
13,0.9798994974874371,58.8,5.036,0.113,54.551,64.147,0.0,***,0.9798994974874371
14,1.0552763819095476,58.98,5.005,0.112,54.798,64.329,0.0,***,1.0552763819095476
15,1.1306532663316582,59.159,4.973,0.111,54.783,64.233,0.0,***,1.1306532663316582
16,1.2060301507537687,59.338,4.942,0.111,55.043,64.417,0.0,***,1.2060301507537687
17,1.2814070351758793,59.517,4.912,0.11,55.219,64.528,0.0,***,1.2814070351758793
18,1.3567839195979898,59.695,4.882,0.109,55.311,64.566,0.0,***,1.3567839195979898
19,1.4321608040201004,59.874,4.852,0.109,54.898,64.072,0.0,***,1.4321608040201004
20,1.507537688442211,60.052,4.823,0.108,54.774,63.859,0.0,***,1.507537688442211
21,1.5829145728643215,60.23,4.795,0.107,55.018,64.009,0.0,***,1.5829145728643215
22,1.658291457286432,60.407,4.767,0.107,55.193,64.147,0.0,***,1.658291457286432
23,1.7336683417085426,60.584,4.74,0.106,55.427,64.305,0.0,***,1.7336683417085426
24,1.809045226130653,60.761,4.714,0.105,55.692,64.498,0.0,***,1.809045226130653
25,1.8844221105527637,60.938,4.687,0.105,56.018,64.751,0.0,***,1.8844221105527637
26,1.9597989949748742,61.115,4.662,0.104,56.187,64.868,0.0,***,1.9597989949748742
27,2.0351758793969847,61.291,4.637,0.104,56.452,65.072,0.0,***,2.0351758793969847
28,2.1105527638190953,61.467,4.613,0.103,57.335,65.889,0.0,***,2.1105527638190953
29,2.185929648241206,61.642,4.589,0.103,57.509,65.995,0.0,***,2.185929648241206
30,2.2613065326633164,61.817,4.566,0.102,57.392,65.802,0.0,***,2.2613065326633164
31,2.336683417085427,61.992,4.544,0.102,57.547,65.887,0.0,***,2.336683417085427
32,2.4120603015075375,62.167,4.522,0.101,57.694,66.007,0.0,***,2.4120603015075375
33,2.487437185929648,62.341,4.501,0.101,57.999,66.284,0.0,***,2.487437185929648
34,2.5628140703517586,62.515,4.48,0.1,57.852,66.087,0.0,***,2.5628140703517586
35,2.638190954773869,62.689,4.46,0.1,58.129,66.288,0.0,***,2.638190954773869
36,2.7135678391959797,62.862,4.441,0.099,58.377,66.502,0.0,***,2.7135678391959797
37,2.78894472361809,63.035,4.422,0.099,58.823,66.889,0.0,***,2.78894472361809
38,2.8643216080402008,63.207,4.404,0.099,59.496,67.519,0.0,***,2.8643216080402008
39,2.9396984924623113,63.379,4.387,0.098,59.787,67.766,0.0,***,2.9396984924623113
40,3.015075376884422,63.551,4.37,0.098,59.938,67.885,0.0,***,3.015075376884422
41,3.0904522613065324,63.723,4.354,0.097,59.724,67.622,0.0,***,3.0904522613065324
42,3.165829145728643,63.894,4.338,0.097,59.938,67.786,0.0,***,3.165829145728643
43,3.2412060301507535,64.064,4.323,0.097,60.053,67.885,0.0,***,3.2412060301507535
44,3.316582914572864,64.235,4.309,0.096,60.178,67.983,0.0,***,3.316582914572864
45,3.3919597989949746,64.404,4.296,0.096,60.047,67.818,0.0,***,3.3919597989949746
46,3.467336683417085,64.574,4.283,0.096,60.087,67.82,0.0,***,3.467336683417085
47,3.5427135678391957,64.743,4.271,0.096,60.321,68.018,0.0,***,3.5427135678391957
48,3.618090452261306,64.912,4.259,0.095,60.514,68.182,0.0,***,3.618090452261306
49,3.6934673366834168,65.08,4.248,0.095,60.756,68.42,0.0,***,3.6934673366834168
50,3.7688442211055273,65.248,4.238,0.095,61.092,68.746,0.0,***,3.7688442211055273
51,3.844221105527638,65.415,4.228,0.095,61.258,68.865,0.0,***,3.844221105527638
52,3.9195979899497484,65.582,4.219,0.094,61.493,69.073,0.0,***,3.9195979899497484
53,3.994974874371859,65.749,4.211,0.094,61.654,69.23,0.0,***,3.994974874371859
54,4.0703517587939695,65.915,4.203,0.094,62.166,69.719,0.0,***,4.0703517587939695
55,4.14572864321608,66.081,4.196,0.094,62.38,69.923,0.0,***,4.14572864321608
56,4.221105527638191,66.246,4.189,0.094,62.387,69.933,0.0,***,4.221105527638191
57,4.296482412060302,66.411,4.183,0.094,62.569,70.103,0.0,***,4.296482412060302
58,4.371859296482412,66.576,4.178,0.093,62.639,70.172,0.0,***,4.371859296482412
59,4.447236180904522,66.74,4.173,0.093,62.789,70.341,0.0,***,4.447236180904522
60,4.522613065326633,66.903,4.169,0.093,63.224,70.714,0.0,***,4.522613065326633
61,4.597989949748744,67.066,4.166,0.093,63.39,70.873,0.0,***,4.597989949748744
62,4.673366834170854,67.229,4.162,0.093,63.595,71.064,0.0,***,4.673366834170854
63,4.748743718592964,67.391,4.16,0.093,63.802,71.274,0.0,***,4.748743718592964
64,4.824120603015075,67.553,4.158,0.093,64.031,71.534,0.0,***,4.824120603015075
65,4.899497487437186,67.714,4.157,0.093,64.196,71.7,0.0,***,4.899497487437186
66,4.974874371859296,67.875,4.156,0.093,64.354,71.905,0.0,***,4.974874371859296
67,5.050251256281406,68.035,4.156,0.093,64.85,72.412,0.0,***,5.050251256281406
68,5.125628140703517,68.195,4.156,0.093,64.01,71.594,0.0,***,5.125628140703517
69,5.201005025125628,68.354,4.157,0.093,64.19,71.78,0.0,***,5.201005025125628
70,5.276381909547738,68.513,4.158,0.093,64.29,71.891,0.0,***,5.276381909547738
71,5.351758793969848,68.671,4.16,0.093,64.41,72.019,0.0,***,5.351758793969848
72,5.427135678391959,68.829,4.162,0.093,64.857,72.477,0.0,***,5.427135678391959
73,5.50251256281407,68.986,4.165,0.093,65.351,72.966,0.0,***,5.50251256281407
74,5.57788944723618,69.143,4.168,0.093,65.368,72.973,0.0,***,5.57788944723618
75,5.6532663316582905,69.299,4.171,0.093,65.59,73.164,0.0,***,5.6532663316582905
76,5.7286432160804015,69.455,4.175,0.093,65.73,73.307,0.0,***,5.7286432160804015
77,5.8040201005025125,69.61,4.18,0.093,66.0,73.569,0.0,***,5.8040201005025125
78,5.879396984924623,69.765,4.185,0.094,66.139,73.714,0.0,***,5.879396984924623
79,5.954773869346733,69.919,4.19,0.094,66.273,73.88,0.0,***,5.954773869346733
80,6.030150753768844,70.073,4.196,0.094,66.453,74.095,0.0,***,6.030150753768844
81,6.105527638190955,70.226,4.202,0.094,66.607,74.265,0.0,***,6.105527638190955
82,6.180904522613065,70.379,4.208,0.094,66.574,74.248,0.0,***,6.180904522613065
83,6.256281407035175,70.531,4.215,0.094,66.797,74.506,0.0,***,6.256281407035175
84,6.331658291457286,70.683,4.222,0.094,66.952,74.652,0.0,***,6.331658291457286
85,6.407035175879397,70.834,4.23,0.095,67.008,74.76,0.0,***,6.407035175879397
86,6.482412060301507,70.985,4.237,0.095,67.143,74.89,0.0,***,6.482412060301507
87,6.557788944723617,71.135,4.246,0.095,67.278,75.078,0.0,***,6.557788944723617
88,6.633165829145728,71.284,4.254,0.095,67.387,75.219,0.0,***,6.633165829145728
89,6.708542713567839,71.433,4.263,0.095,67.475,75.32,0.0,***,6.708542713567839
90,6.783919597989949,71.582,4.272,0.096,67.649,75.532,0.0,***,6.783919597989949
91,6.859296482412059,71.729,4.281,0.096,67.641,75.543,0.0,***,6.859296482412059
92,6.93467336683417,71.877,4.29,0.096,67.791,75.714,0.0,***,6.93467336683417
93,7.010050251256281,72.024,4.3,0.096,67.963,75.91,0.0,***,7.010050251256281
94,7.085427135678391,72.17,4.31,0.096,68.023,76.005,0.0,***,7.085427135678391
95,7.160804020100501,72.316,4.32,0.097,68.112,76.145,0.0,***,7.160804020100501
96,7.236180904522612,72.461,4.331,0.097,67.986,76.058,0.0,***,7.236180904522612
97,7.311557788944723,72.605,4.342,0.097,68.095,76.18,0.0,***,7.311557788944723
98,7.3869346733668335,72.749,4.352,0.097,68.254,76.342,0.0,***,7.3869346733668335
99,7.462311557788944,72.893,4.363,0.098,68.343,76.505,0.0,***,7.462311557788944
100,7.537688442211055,73.036,4.375,0.098,68.332,76.514,0.0,***,7.537688442211055
101,7.613065326633166,73.178,4.386,0.098,68.639,76.856,0.0,***,7.613065326633166
102,7.688442211055276,73.32,4.398,0.098,68.907,77.153,0.0,***,7.688442211055276
103,7.763819095477386,73.461,4.409,0.099,69.037,77.304,0.0,***,7.763819095477386
104,7.839195979899497,73.602,4.421,0.099,69.131,77.445,0.0,***,7.839195979899497
105,7.914572864321608,73.742,4.433,0.099,69.384,77.72,0.0,***,7.914572864321608
106,7.989949748743718,73.882,4.445,0.099,69.513,77.878,0.0,***,7.989949748743718
107,8.065326633165828,74.021,4.457,0.1,69.489,77.891,0.0,***,8.065326633165828
108,8.140703517587939,74.159,4.47,0.1,69.623,78.076,0.0,***,8.140703517587939
109,8.21608040201005,74.297,4.482,0.1,69.737,78.225,0.0,***,8.21608040201005
110,8.29145728643216,74.435,4.495,0.101,70.567,79.082,0.0,***,8.29145728643216
111,8.36683417085427,74.571,4.507,0.101,70.477,79.032,0.0,***,8.36683417085427
112,8.442211055276381,74.708,4.52,0.101,70.211,78.8,0.0,***,8.442211055276381
113,8.517587939698492,74.843,4.533,0.101,70.373,78.991,0.0,***,8.517587939698492
114,8.592964824120603,74.978,4.545,0.102,70.5,79.146,0.0,***,8.592964824120603
115,8.668341708542712,75.113,4.558,0.102,71.063,79.748,0.0,***,8.668341708542712
116,8.743718592964823,75.247,4.571,0.102,71.222,79.936,0.0,***,8.743718592964823
117,8.819095477386934,75.38,4.584,0.103,71.349,80.099,0.0,***,8.819095477386934
118,8.894472361809044,75.513,4.597,0.103,71.117,79.901,0.0,***,8.894472361809044
119,8.969849246231155,75.645,4.61,0.103,72.298,81.101,0.0,***,8.969849246231155
120,9.045226130653266,75.777,4.623,0.103,72.415,81.227,0.0,***,9.045226130653266
121,9.120603015075377,75.908,4.636,0.104,71.301,80.146,0.0,***,9.120603015075377
122,9.195979899497488,76.038,4.649,0.104,72.713,81.575,0.0,***,9.195979899497488
123,9.271356783919597,76.168,4.662,0.104,72.73,81.625,0.0,***,9.271356783919597
124,9.346733668341708,76.297,4.675,0.105,73.035,81.948,0.0,***,9.346733668341708
125,9.422110552763819,76.426,4.688,0.105,73.082,82.017,0.0,***,9.422110552763819
126,9.497487437185928,76.554,4.701,0.105,73.185,82.111,0.0,***,9.497487437185928
127,9.572864321608039,76.682,4.714,0.105,73.218,82.156,0.0,***,9.572864321608039
128,9.64824120603015,76.809,4.727,0.106,73.328,82.304,0.0,***,9.64824120603015
129,9.72361809045226,76.935,4.74,0.106,73.46,82.455,0.0,***,9.72361809045226
130,9.798994974874372,77.061,4.753,0.106,73.594,82.614,0.0,***,9.798994974874372
131,9.874371859296481,77.187,4.766,0.107,73.896,82.914,0.0,***,9.874371859296481
132,9.949748743718592,77.311,4.779,0.107,73.885,82.946,0.0,***,9.949748743718592
133,10.025125628140703,77.435,4.791,0.107,74.003,83.12,0.0,***,10.025125628140703
134,10.100502512562812,77.559,4.804,0.107,74.143,83.277,0.0,***,10.100502512562812
135,10.175879396984923,77.682,4.817,0.108,74.379,83.537,0.0,***,10.175879396984923
136,10.251256281407034,77.804,4.829,0.108,74.441,83.63,0.0,***,10.251256281407034
137,10.326633165829145,77.926,4.842,0.108,74.597,83.815,0.0,***,10.326633165829145
138,10.402010050251256,78.048,4.854,0.109,73.998,83.229,0.0,***,10.402010050251256
139,10.477386934673365,78.168,4.867,0.109,74.115,83.348,0.0,***,10.477386934673365
140,10.552763819095476,78.289,4.879,0.109,74.221,83.482,0.0,***,10.552763819095476
141,10.628140703517587,78.408,4.891,0.109,74.312,83.596,0.0,***,10.628140703517587
142,10.703517587939697,78.527,4.903,0.11,74.401,83.698,0.0,***,10.703517587939697
143,10.778894472361808,78.646,4.916,0.11,74.565,83.891,0.0,***,10.778894472361808
144,10.854271356783919,78.764,4.928,0.11,74.675,84.023,0.0,***,10.854271356783919
145,10.92964824120603,78.881,4.939,0.11,75.45,84.793,0.0,***,10.92964824120603
146,11.00502512562814,78.998,4.951,0.111,75.539,84.925,0.0,***,11.00502512562814
147,11.08040201005025,79.114,4.963,0.111,74.88,84.278,0.0,***,11.08040201005025
148,11.15577889447236,79.229,4.975,0.111,75.016,84.423,0.0,***,11.15577889447236
149,11.231155778894472,79.344,4.986,0.112,74.996,84.42,0.0,***,11.231155778894472
150,11.306532663316581,79.459,4.998,0.112,75.118,84.549,0.0,***,11.306532663316581
151,11.381909547738692,79.573,5.009,0.112,75.236,84.648,0.0,***,11.381909547738692
152,11.457286432160803,79.686,5.02,0.112,75.314,84.746,0.0,***,11.457286432160803
153,11.532663316582914,79.799,5.031,0.113,75.462,84.894,0.0,***,11.532663316582914
154,11.608040201005025,79.911,5.042,0.113,75.606,85.056,0.0,***,11.608040201005025
155,11.683417085427134,80.023,5.053,0.113,75.717,85.17,0.0,***,11.683417085427134
156,11.758793969849245,80.134,5.064,0.113,75.847,85.298,0.0,***,11.758793969849245
157,11.834170854271356,80.245,5.075,0.113,75.986,85.427,0.0,***,11.834170854271356
158,11.909547738693465,80.355,5.085,0.114,76.125,85.564,0.0,***,11.909547738693465
159,11.984924623115576,80.464,5.096,0.114,76.222,85.66,0.0,***,11.984924623115576
160,12.060301507537687,80.573,5.106,0.114,76.349,85.805,0.0,***,12.060301507537687
161,12.135678391959798,80.682,5.116,0.114,76.488,85.955,0.0,***,12.135678391959798
162,12.21105527638191,80.789,5.126,0.115,76.582,86.059,0.0,***,12.21105527638191
163,12.286432160804019,80.897,5.136,0.115,76.67,86.156,0.0,***,12.286432160804019
164,12.36180904522613,81.003,5.146,0.115,76.812,86.313,0.0,***,12.36180904522613
165,12.43718592964824,81.11,5.156,0.115,76.921,86.432,0.0,***,12.43718592964824
166,12.51256281407035,81.215,5.165,0.116,77.01,86.536,0.0,***,12.51256281407035
167,12.58793969849246,81.32,5.175,0.116,77.131,86.664,0.0,***,12.58793969849246
168,12.663316582914572,81.425,5.184,0.116,77.233,86.774,0.0,***,12.663316582914572
169,12.738693467336683,81.529,5.193,0.116,77.359,86.91,0.0,***,12.738693467336683
170,12.814070351758794,81.632,5.202,0.116,77.452,87.006,0.0,***,12.814070351758794
171,12.889447236180903,81.735,5.211,0.117,77.53,87.11,0.0,***,12.889447236180903
172,12.964824120603014,81.838,5.22,0.117,77.517,87.124,0.0,***,12.964824120603014
173,13.040201005025125,81.939,5.229,0.117,77.716,87.342,0.0,***,13.040201005025125
174,13.115577889447234,82.041,5.237,0.117,77.725,87.353,0.0,***,13.115577889447234
175,13.190954773869345,82.142,5.246,0.117,77.902,87.546,0.0,***,13.190954773869345
176,13.266331658291456,82.242,5.254,0.118,77.959,87.631,0.0,***,13.266331658291456
177,13.341708542713567,82.342,5.262,0.118,78.025,87.725,0.0,***,13.341708542713567
178,13.417085427135678,82.441,5.27,0.118,78.107,87.824,0.0,***,13.417085427135678
179,13.492462311557787,82.539,5.278,0.118,78.211,87.941,0.0,***,13.492462311557787
180,13.567839195979898,82.638,5.286,0.118,78.357,88.093,0.0,***,13.567839195979898
181,13.64321608040201,82.735,5.294,0.118,78.458,88.196,0.0,***,13.64321608040201
182,13.718592964824118,82.832,5.301,0.119,78.567,88.302,0.0,***,13.718592964824118
183,13.79396984924623,82.929,5.309,0.119,78.656,88.408,0.0,***,13.79396984924623
184,13.86934673366834,83.025,5.316,0.119,78.76,88.514,0.0,***,13.86934673366834
185,13.944723618090451,83.12,5.323,0.119,78.874,88.65,0.0,***,13.944723618090451
186,14.020100502512562,83.215,5.33,0.119,78.948,88.748,0.0,***,14.020100502512562
187,14.095477386934672,83.31,5.337,0.119,79.966,89.76,0.0,***,14.095477386934672
188,14.170854271356783,83.404,5.344,0.12,80.106,89.906,0.0,***,14.170854271356783
189,14.246231155778894,83.497,5.35,0.12,80.279,90.069,0.0,***,14.246231155778894
190,14.321608040201003,83.59,5.357,0.12,80.325,90.104,0.0,***,14.321608040201003
191,14.396984924623114,83.683,5.363,0.12,80.413,90.183,0.0,***,14.396984924623114
192,14.472361809045225,83.775,5.37,0.12,80.505,90.267,0.0,***,14.472361809045225
193,14.547738693467336,83.866,5.376,0.12,80.564,90.337,0.0,***,14.547738693467336
194,14.623115577889447,83.957,5.382,0.12,80.642,90.415,0.0,***,14.623115577889447
195,14.698492462311556,84.048,5.387,0.12,80.774,90.523,0.0,***,14.698492462311556
196,14.773869346733667,84.138,5.393,0.121,80.882,90.621,0.0,***,14.773869346733667
197,14.849246231155778,84.227,5.399,0.121,80.966,90.717,0.0,***,14.849246231155778
198,14.924623115577887,84.316,5.404,0.121,81.051,90.813,0.0,***,14.924623115577887
199,15.0,84.405,5.41,0.121,81.127,90.878,0.0,***,15.0
